Product_Category,Supplier_Region,Shipping_Mode,Warehouse_Type,Order_Quantity,Distance_km,Supplier_Lead_Time_days,Transportation_Cost,Inventory_Level,Demand_Forecast,Supplier_Reliability_Score,Historical_Delay_Rate,Delivery_Time_days,Delivery_Status
Pharmaceuticals,South Asia,Road,Hybrid,981.0,7253.3,13.0,23053.18,965.0,1208.0,79.5,0.099,39.8,Delayed
Furniture,North America,Air,Hybrid,197.0,3146.2,1.0,5970.39,61.0,210.0,86.8,0.071,1.1,Early
Electronics,Europe,Rail,Manual,968.0,4804.0,12.0,10255.39,1029.0,1305.0,91.1,0.033,24.1,On Time
Electronics,South Asia,Sea,Automated,158.0,6048.7,21.0,1449.32,197.0,190.0,69.6,0.129,46.2,Delayed
Apparel,Europe,Air,Automated,2378.0,4479.8,4.0,93168.51,2771.0,2800.0,92.8,0.093,3.4,Early
Industrial Equipment,East Asia,Sea,Automated,131.0,11444.5,24.0,1769.33,138.0,126.0,89.1,0.076,77.0,Severely Delayed
Furniture,North America,Sea,Cross-Dock,106.0,4317.7,14.0,800.05,83.0,97.0,94.6,0.035,28.5,On Time
Electronics,East Asia,Sea,Hybrid,703.0,11926.3,25.0,9760.94,584.0,811.0,76.7,0.036,82.1,Severely Delayed
Industrial Equipment,East Asia,Sea,Automated,167.0,8491.4,20.0,1804.31,114.0,174.0,90.8,0.071,56.1,Delayed
Perishable Food,South Asia,Road,Manual,1484.0,8881.1,12.0,42876.68,1611.0,1573.0,78.1,0.212,47.3,Delayed
,Europe,Sea,Automated,67.0,,11.0,750.98,66.0,72.0,84.2,0.116,37.2,On Time
Industrial Equipment,Europe,Sea,Automated,174.0,5538.1,14.0,1433.0,134.0,191.0,89.7,0.053,33.1,On Time
Electronics,Europe,Air,Manual,372.0,5764.6,5.0,21185.81,676.0,558.0,97.2,0.03,9.5,Early
Apparel,East Asia,Air,Automated,987.0,9205.9,11.0,83854.57,628.0,1173.0,76.6,0.086,16.8,On Time
Pharmaceuticals,Latin America,Air,Automated,121.0,8962.3,7.0,9948.17,83.0,157.0,66.5,0.198,15.2,On Time
Electronics,East Asia,Road,Manual,320.0,10120.6,15.0,9016.3,381.0,369.0,81.2,0.119,56.4,Severely Delayed
Furniture,Southeast Asia,Air,Manual,92.0,8197.4,8.0,7657.08,101.0,89.0,67.6,0.157,18.7,On Time
Apparel,Europe,Road,Manual,275.0,6092.2,9.0,5517.31,275.0,266.0,88.7,0.092,30.0,On Time
Electronics,North America,Road,Manual,66.0,4351.8,4.0,1110.57,53.0,,94.4,0.046,15.4,On Time
Apparel,South Asia,Sea,Manual,583.0,7052.5,25.0,4265.61,298.0,628.0,75.0,0.042,53.4,Delayed
Perishable Food,Europe,Road,Manual,510.0,6299.9,6.0,10266.7,925.0,665.0,83.6,0.107,27.7,On Time
Electronics,Europe,Road,Manual,453.0,6245.8,8.0,8998.52,548.0,504.0,93.4,0.07,28.6,On Time
Electronics,East Asia,Sea,Cross-Dock,500.0,9306.4,23.0,4610.04,342.0,474.0,81.0,0.047,60.5,Delayed
Automotive Parts,Southeast Asia,Rail,Automated,1212.0,6189.1,17.0,14029.78,1072.0,1325.0,71.3,0.144,37.3,On Time
Apparel,East Asia,Sea,Hybrid,470.0,7784.7,25.0,4369.41,503.0,465.0,83.6,0.069,58.7,Delayed
Apparel,North America,Sea,Automated,1493.0,5041.0,12.0,10255.28,501.0,1873.0,97.2,0.01,28.5,On Time
Electronics,Europe,Road,Manual,486.0,4569.0,15.0,7955.86,763.0,601.0,84.5,0.106,31.7,On Time
Apparel,Southeast Asia,Sea,Manual,962.0,8601.1,25.0,8032.28,1281.0,1222.0,85.6,0.04,61.6,Delayed
Apparel,North America,Rail,Hybrid,779.0,3715.8,5.0,,432.0,680.0,90.5,0.124,13.4,Early
Pharmaceuticals,East Asia,Road,Cross-Dock,502.0,11231.8,20.0,17130.05,353.0,386.0,82.8,0.05,69.2,Severely Delayed
Apparel,North America,Road,Manual,775.0,3731.1,8.0,9853.31,817.0,709.0,90.7,0.086,20.5,On Time
Industrial Equipment,East Asia,Road,Automated,85.0,12733.4,14.0,3614.73,59.0,58.0,78.7,0.145,68.8,Severely Delayed
Industrial Equipment,North America,Sea,Hybrid,37.0,3651.0,7.0,401.04,27.0,35.0,82.4,0.126,27.6,Delayed
Electronics,North America,Sea,Automated,213.0,4349.1,12.0,1346.51,97.0,246.0,99.0,0.01,26.7,On Time
Electronics,Europe,Road,Manual,489.0,7716.8,8.0,12252.63,526.0,490.0,80.9,0.136,35.9,Delayed
Electronics,East Asia,Sea,Hybrid,299.0,12136.8,18.0,4331.25,263.0,408.0,89.5,0.1,71.8,Severely Delayed
Pharmaceuticals,East Asia,Road,Manual,76.0,9542.5,17.0,2439.83,32.0,64.0,92.4,0.063,57.2,Severely Delayed
Electronics,North America,Air,Manual,277.0,3750.7,1.0,9805.89,120.0,363.0,85.7,0.036,2.9,Early
Automotive Parts,East Asia,Sea,Automated,747.0,8868.7,22.0,7601.8,711.0,764.0,85.7,0.024,60.1,Delayed
Automotive Parts,East Asia,Road,Automated,507.0,9773.2,21.0,17650.3,1071.0,643.0,86.1,,63.4,Severely Delayed
Automotive Parts,South Asia,Road,Cross-Dock,275.0,7478.6,14.0,7170.09,250.0,272.0,78.2,0.088,41.8,Delayed
Pharmaceuticals,North America,Road,Automated,256.0,2191.2,4.0,2084.04,271.0,297.0,86.2,0.105,9.8,Early
Industrial Equipment,East Asia,Sea,Manual,144.0,9255.2,24.0,1487.28,86.0,183.0,79.7,0.119,72.4,Severely Delayed
Electronics,North America,Road,Manual,183.0,4060.6,2.0,2579.81,,219.0,94.8,0.04,12.3,Early
Perishable Food,Southeast Asia,Air,Manual,453.0,6207.1,8.0,23629.07,370.0,338.0,66.2,0.139,15.9,On Time
Apparel,North America,Road,Automated,793.0,2878.6,1.0,7532.49,389.0,955.0,78.0,0.101,8.2,Early
Industrial Equipment,South Asia,Sea,Automated,56.0,8697.7,23.0,846.41,81.0,74.0,74.6,0.12,61.6,Delayed
Pharmaceuticals,East Asia,Sea,Manual,297.0,11796.7,26.0,3781.4,297.0,310.0,81.2,0.135,95.0,Severely Delayed
Automotive Parts,East Asia,Road,Manual,445.0,8438.5,18.0,12361.46,585.0,581.0,82.9,0.084,50.2,Delayed
Electronics,North America,Road,Hybrid,445.0,3609.6,5.0,5033.0,518.0,405.0,85.7,0.071,14.9,Early
Industrial Equipment,Europe,Rail,Manual,223.0,6408.7,10.0,3421.93,137.0,192.0,92.7,0.038,26.6,On Time
Perishable Food,East Asia,Road,Cross-Dock,378.0,11512.6,21.0,14286.29,181.0,356.0,87.1,0.084,73.4,Severely Delayed
Perishable Food,East Asia,Air,Automated,1623.0,8588.0,13.0,122731.82,2906.0,1764.0,83.0,0.08,20.5,On Time
Industrial Equipment,South Asia,Road,Manual,105.0,6709.3,17.0,2329.82,91.0,111.0,66.1,0.112,42.7,Delayed
Perishable Food,South Asia,Air,Cross-Dock,1571.0,8937.6,13.0,129712.98,529.0,1082.0,80.2,0.094,25.5,On Time
Perishable Food,Latin America,Air,Hybrid,209.0,7210.7,5.0,15889.89,295.0,262.0,61.5,0.254,14.0,On Time
Pharmaceuticals,East Asia,Sea,Manual,433.0,8648.5,26.0,4466.32,424.0,462.0,74.4,0.207,79.5,Severely Delayed
Electronics,East Asia,Sea,Manual,330.0,9727.3,21.0,3932.72,236.0,319.0,86.6,0.08,63.4,Severely Delayed
Apparel,South Asia,Road,Hybrid,769.0,9174.8,13.0,24444.09,872.0,722.0,67.2,0.15,55.9,Severely Delayed
Electronics,East Asia,Road,Automated,360.0,7459.2,16.0,8594.61,245.0,294.0,77.6,0.173,46.0,Delayed
Electronics,East Asia,Road,Automated,203.0,8284.9,20.0,5077.33,182.0,209.0,82.8,0.094,54.1,Delayed
Automotive Parts,South Asia,Road,Manual,375.0,7967.9,13.0,9766.16,426.0,345.0,79.5,0.104,42.2,Delayed
Pharmaceuticals,South Asia,Sea,Hybrid,267.0,8168.0,23.0,2834.18,541.0,315.0,77.5,0.143,59.5,Delayed
Apparel,East Asia,Road,Manual,986.0,9861.8,13.0,31052.45,1025.0,1029.0,89.9,0.01,52.2,Severely Delayed
Perishable Food,North America,Air,Manual,1321.0,3426.5,1.0,37794.3,1627.0,1500.0,87.3,0.09,3.3,Early
Perishable Food,North America,Air,Cross-Dock,986.0,3581.7,1.0,33955.1,603.0,663.0,84.8,0.118,4.6,Early
Furniture,East Asia,Sea,Automated,137.0,6922.6,27.0,1451.44,126.0,148.0,74.3,0.113,57.2,Delayed
Industrial Equipment,Southeast Asia,Rail,Hybrid,82.0,8349.7,14.0,1624.68,114.0,96.0,76.7,0.101,40.7,Delayed
Industrial Equipment,South Asia,Road,Automated,109.0,9120.8,11.0,3096.7,62.0,114.0,75.6,0.123,47.2,Delayed
Perishable Food,Latin America,Road,Hybrid,1723.0,6708.9,12.0,40233.52,1811.0,1964.0,86.7,0.101,35.6,On Time
Apparel,Latin America,Sea,Manual,1223.0,7558.1,18.0,11182.66,1313.0,1452.0,75.7,0.159,49.4,Delayed
Perishable Food,South Asia,Air,Automated,823.0,6685.6,12.0,52304.02,946.0,1255.0,63.7,0.13,17.0,Early
Pharmaceuticals,East Asia,Air,Manual,219.0,8929.0,16.0,18392.59,89.0,235.0,88.9,0.056,29.1,On Time
Perishable Food,Southeast Asia,Air,Cross-Dock,769.0,10917.9,9.0,77131.99,648.0,1033.0,70.9,0.154,22.2,On Time
Furniture,South Asia,Air,Manual,134.0,5992.2,12.0,8576.08,175.0,160.0,66.1,0.201,20.0,On Time
Pharmaceuticals,East Asia,Sea,Automated,875.0,7564.8,24.0,7968.32,859.0,967.0,88.2,0.027,56.0,Delayed
Apparel,North America,Road,Automated,545.0,3985.8,6.0,7040.87,320.0,604.0,95.0,0.05,17.5,On Time
Apparel,North America,Road,Hybrid,1048.0,3092.5,2.0,10836.07,1315.0,1387.0,96.5,0.057,14.7,On Time
Apparel,Southeast Asia,Sea,Hybrid,1062.0,9362.6,21.0,11057.73,878.0,1087.0,72.3,0.131,62.4,Severely Delayed
Electronics,Europe,Sea,Manual,508.0,6269.4,17.0,3707.6,279.0,476.0,99.0,0.01,41.7,Delayed
Electronics,Southeast Asia,Road,Automated,74.0,8877.5,,2184.42,67.0,92.0,81.5,0.074,46.4,Delayed
Furniture,Europe,Sea,Hybrid,126.0,4665.6,14.0,943.56,125.0,139.0,82.3,0.115,30.1,On Time
Perishable Food,Europe,Road,Manual,1442.0,7033.1,8.0,32064.2,1243.0,1274.0,99.0,0.046,31.4,On Time
Apparel,North America,Sea,Automated,405.0,3637.2,8.0,1875.69,224.0,413.0,93.5,0.064,18.6,Early
Pharmaceuticals,Latin America,Sea,Manual,59.0,8395.5,22.0,814.7,91.0,69.0,71.9,0.289,72.7,Severely Delayed
Automotive Parts,Latin America,Sea,Manual,610.0,6847.3,18.0,5144.24,369.0,714.0,68.6,0.299,48.3,Delayed
Apparel,Southeast Asia,Sea,Cross-Dock,1181.0,8520.0,21.0,12449.44,684.0,1553.0,56.7,0.274,60.1,Delayed
Automotive Parts,Europe,Rail,Hybrid,398.0,7347.1,11.0,6017.65,478.0,527.0,92.6,0.043,33.0,On Time
Industrial Equipment,North America,Road,Automated,54.0,3165.4,7.0,691.01,46.0,63.0,86.3,0.089,16.0,Early
Pharmaceuticals,East Asia,Road,Hybrid,614.0,8625.4,14.0,17877.63,341.0,373.0,80.6,0.101,48.2,Delayed
Furniture,Southeast Asia,Sea,Automated,226.0,9371.8,22.0,2623.87,291.0,217.0,75.4,0.125,64.0,Severely Delayed
Electronics,East Asia,Sea,Cross-Dock,175.0,12424.5,26.0,2324.13,121.0,166.0,76.8,0.126,85.8,Severely Delayed
Industrial Equipment,East Asia,Air,Manual,88.0,11106.7,11.0,9230.88,73.0,92.0,85.1,0.079,24.8,On Time
Perishable Food,South Asia,Air,Cross-Dock,514.0,7497.4,,35696.7,430.0,467.0,69.0,0.18,23.2,On Time
Industrial Equipment,North America,Air,Cross-Dock,63.0,3346.8,2.0,2545.42,56.0,69.0,80.4,0.078,4.1,Early
Pharmaceuticals,North America,Road,Cross-Dock,557.0,3482.7,6.0,6936.34,417.0,622.0,90.4,0.042,16.5,On Time
Electronics,East Asia,Road,Automated,839.0,7233.4,19.0,20554.15,616.0,961.0,78.5,0.154,48.4,Delayed
Electronics,East Asia,Road,Hybrid,264.0,9236.0,15.0,9426.95,212.0,269.0,70.2,0.15,52.8,Delayed
Furniture,East Asia,Sea,Hybrid,192.0,11415.0,22.0,2778.86,268.0,246.0,74.6,0.083,75.5,Severely Delayed
Pharmaceuticals,South Asia,Air,Manual,119.0,7251.4,14.0,7924.88,112.0,137.0,75.0,0.13,23.9,On Time
Electronics,East Asia,Sea,Manual,,8430.4,23.0,13040.62,1556.0,1212.0,82.8,0.111,58.0,Delayed
Furniture,Europe,Road,Hybrid,29.0,5659.9,4.0,639.98,24.0,24.0,96.3,0.014,20.8,On Time
Automotive Parts,East Asia,Sea,Cross-Dock,340.0,9445.7,24.0,3915.54,200.0,316.0,89.0,0.047,66.7,Severely Delayed
Perishable Food,South Asia,Air,Hybrid,1536.0,5599.9,11.0,72215.19,1168.0,1287.0,76.6,0.114,17.3,On Time
Perishable Food,South Asia,Air,Manual,545.0,6022.5,12.0,28746.77,533.0,554.0,69.8,0.116,19.7,On Time
Electronics,North America,Road,Hybrid,177.0,4465.7,4.0,2352.13,86.0,126.0,86.7,0.089,16.5,On Time
Automotive Parts,Southeast Asia,Rail,Automated,428.0,6670.7,20.0,6186.76,439.0,396.0,78.6,0.097,42.1,Delayed
Apparel,East Asia,Sea,Manual,436.0,8129.4,22.0,3956.6,453.0,429.0,88.0,0.084,56.8,Delayed
,South Asia,Air,Hybrid,84.0,7577.6,6.0,7227.71,143.0,91.0,77.3,0.061,13.1,On Time
Apparel,Europe,Road,Hybrid,684.0,5983.1,4.0,14518.38,853.0,737.0,85.2,0.052,27.6,Delayed
Pharmaceuticals,East Asia,Air,Hybrid,374.0,9651.6,11.0,31782.99,294.0,343.0,83.2,0.134,23.8,On Time
Apparel,Southeast Asia,Road,Manual,605.0,9473.6,15.0,17365.43,612.0,644.0,74.5,0.146,53.7,Delayed
Electronics,Latin America,Sea,Manual,377.0,6349.4,19.0,2748.77,294.0,369.0,59.3,0.263,47.7,Delayed
Automotive Parts,North America,Sea,Hybrid,,3975.2,13.0,2572.97,632.0,546.0,88.7,0.01,25.4,On Time
Perishable Food,Latin America,Air,Automated,2829.0,7877.5,7.0,186062.26,857.0,3280.0,69.5,0.136,11.6,Early
Pharmaceuticals,South Asia,Air,Cross-Dock,196.0,6829.2,12.0,12433.15,161.0,261.0,78.8,0.083,19.5,On Time
Industrial Equipment,South Asia,Road,Cross-Dock,97.0,9691.0,11.0,2971.47,166.0,114.0,67.4,0.204,51.3,Severely Delayed
Industrial Equipment,East Asia,Road,Cross-Dock,76.0,7101.5,17.0,1703.56,40.0,77.0,76.1,0.182,46.3,Delayed
Automotive Parts,East Asia,Sea,Cross-Dock,186.0,10510.1,25.0,2627.42,146.0,158.0,88.3,0.106,74.4,Severely Delayed
Electronics,East Asia,Sea,Manual,624.0,11428.9,22.0,7761.03,618.0,857.0,76.5,0.072,74.6,Severely Delayed
Pharmaceuticals,North America,Sea,Manual,597.0,3069.4,16.0,2184.25,298.0,734.0,,0.131,39.4,Delayed
Automotive Parts,North America,Road,Hybrid,624.0,3079.3,1.0,7078.22,352.0,504.0,93.0,0.01,10.2,On Time
Apparel,East Asia,Road,Automated,96.0,8869.6,19.0,3250.97,61.0,128.0,86.3,0.167,55.9,Delayed
Electronics,North America,Road,Hybrid,307.0,3065.6,7.0,3350.13,337.0,344.0,98.4,0.01,16.5,On Time
Automotive Parts,East Asia,Road,Automated,622.0,9613.7,15.0,19608.34,896.0,772.0,79.9,0.092,55.1,Severely Delayed
Perishable Food,South Asia,Road,Cross-Dock,1980.0,8356.8,16.0,50080.83,2060.0,2393.0,72.2,0.205,51.9,Delayed
Pharmaceuticals,East Asia,Sea,Manual,72.0,8878.9,22.0,1022.6,51.0,88.0,81.0,0.11,74.0,Severely Delayed
Industrial Equipment,Europe,Sea,Hybrid,33.0,7586.4,16.0,523.92,17.0,28.0,84.4,0.065,54.6,Severely Delayed
Pharmaceuticals,North America,Sea,Manual,330.0,4382.6,11.0,1668.43,138.0,244.0,92.6,0.028,38.5,Delayed
Perishable Food,Europe,Air,Hybrid,1110.0,7004.3,4.0,68060.67,1310.0,950.0,86.0,0.064,9.6,On Time
Apparel,East Asia,Road,Cross-Dock,686.0,10398.6,15.0,20924.08,668.0,667.0,74.7,0.044,57.6,Severely Delayed
Perishable Food,South Asia,Air,Manual,2732.0,6430.2,9.0,148351.62,1891.0,3334.0,63.4,0.198,18.2,On Time
Electronics,Latin America,Sea,Automated,1087.0,4645.2,18.0,6436.52,1446.0,1234.0,71.2,0.226,37.5,On Time
Automotive Parts,East Asia,Air,Automated,216.0,10501.6,15.0,23253.16,80.0,201.0,85.7,0.077,26.9,On Time
Automotive Parts,South Asia,Road,Hybrid,92.0,8232.2,19.0,2408.19,53.0,90.0,69.9,0.075,53.3,Delayed
Apparel,East Asia,Sea,Hybrid,654.0,9914.6,30.0,7013.01,457.0,619.0,74.2,0.142,77.6,Severely Delayed
Apparel,East Asia,Road,Hybrid,1095.0,11055.7,19.0,36184.3,,1269.0,91.2,0.045,72.7,Severely Delayed
Automotive Parts,North America,Rail,Automated,875.0,3154.6,7.0,6790.98,1117.0,1113.0,87.9,0.057,14.0,Early
Electronics,East Asia,Sea,Automated,298.0,10386.7,26.0,,525.0,392.0,87.4,0.09,73.8,Severely Delayed
Pharmaceuticals,North America,Road,Cross-Dock,154.0,4427.5,6.0,2188.24,173.0,,96.3,0.015,20.7,On Time
Perishable Food,Latin America,Road,Hybrid,1372.0,9854.4,12.0,47190.67,980.0,1242.0,81.1,0.157,50.5,Delayed
Furniture,East Asia,Sea,Automated,111.0,11796.1,29.0,1730.28,32.0,89.0,81.7,0.058,87.6,Severely Delayed
Electronics,East Asia,Sea,Automated,402.0,11807.1,26.0,5657.87,355.0,386.0,73.4,0.099,82.9,Severely Delayed
Furniture,Southeast Asia,Sea,Automated,188.0,6397.2,19.0,1649.53,123.0,174.0,64.5,0.236,47.5,Delayed
Apparel,North America,Road,Hybrid,617.0,3953.1,7.0,7792.46,528.0,629.0,88.4,0.086,24.9,On Time
Pharmaceuticals,Southeast Asia,Sea,Hybrid,83.0,7267.2,22.0,907.58,45.0,106.0,86.2,0.097,53.2,Delayed
Electronics,South Asia,Road,Hybrid,235.0,5764.7,13.0,5029.22,320.0,322.0,74.4,0.099,33.3,On Time
Perishable Food,Europe,Air,Hybrid,652.0,6165.8,4.0,36670.5,448.0,727.0,96.1,0.067,8.9,On Time
Pharmaceuticals,Latin America,Air,Cross-Dock,164.0,11578.6,9.0,18093.65,81.0,167.0,66.2,0.133,24.2,Delayed
Apparel,East Asia,,Manual,125.0,8570.1,17.0,1616.05,76.0,151.0,90.7,0.01,51.1,Delayed
Electronics,Southeast Asia,Sea,Manual,1190.0,5604.9,17.0,7912.05,2019.0,1353.0,80.0,0.025,38.0,On Time
Electronics,Europe,Road,Manual,163.0,4809.8,11.0,2649.37,129.0,126.0,88.8,0.04,25.5,On Time
Apparel,Southeast Asia,Sea,Cross-Dock,1136.0,8906.1,19.0,11049.8,961.0,1007.0,81.6,0.066,56.9,Delayed
Electronics,East Asia,Sea,Manual,209.0,8202.4,25.0,2039.91,146.0,207.0,78.6,0.095,59.9,Delayed
Industrial Equipment,South Asia,Road,Manual,59.0,4552.0,18.0,999.48,32.0,46.0,76.8,0.077,34.2,On Time
Perishable Food,East Asia,Air,Hybrid,1052.0,7097.3,8.0,64383.75,1449.0,1361.0,76.9,0.17,16.1,On Time
Automotive Parts,Latin America,Sea,Automated,285.0,9064.4,24.0,3038.88,318.0,310.0,68.3,0.178,65.3,Severely Delayed
Industrial Equipment,East Asia,Sea,Manual,193.0,10832.9,24.0,2231.56,67.0,177.0,76.5,0.031,81.2,Severely Delayed
Electronics,East Asia,Air,Hybrid,2254.0,8737.8,14.0,184210.63,3250.0,2215.0,76.6,0.1,26.9,On Time
Furniture,Southeast Asia,Air,Cross-Dock,26.0,9157.9,15.0,2458.71,19.0,30.0,65.6,0.163,29.3,On Time
Automotive Parts,South Asia,Road,Automated,840.0,8385.7,17.0,26234.68,809.0,872.0,87.7,0.081,49.8,Delayed
Furniture,North America,Road,Manual,146.0,3006.3,5.0,1437.9,149.0,189.0,82.8,0.133,15.9,On Time
Perishable Food,South Asia,Air,Cross-Dock,820.0,7042.9,10.0,51066.23,1087.0,864.0,80.2,0.098,18.4,On Time
Perishable Food,Europe,Road,Hybrid,1802.0,5797.4,7.0,33459.49,1047.0,1331.0,77.9,0.136,27.3,On Time
Electronics,East Asia,Air,Hybrid,800.0,10421.5,12.0,73307.31,885.0,745.0,78.5,0.073,26.5,Delayed
Pharmaceuticals,North America,Sea,Automated,245.0,3114.3,15.0,980.98,160.0,212.0,87.9,0.066,25.2,On Time
Industrial Equipment,North America,Road,Automated,178.0,2735.7,6.0,1689.94,82.0,205.0,98.5,0.01,13.2,Early
Industrial Equipment,South Asia,Sea,Manual,12.0,7268.2,23.0,359.9,12.0,16.0,76.0,0.096,60.5,Severely Delayed
Electronics,East Asia,Road,Automated,613.0,11398.7,16.0,21978.09,605.0,602.0,75.6,0.148,66.2,Severely Delayed
Furniture,East Asia,Road,Hybrid,134.0,10373.1,19.0,4492.93,112.0,155.0,80.5,0.134,64.2,Severely Delayed
Apparel,Europe,Road,Hybrid,814.0,7678.0,3.0,19639.19,380.0,918.0,95.1,0.043,34.3,Delayed
Industrial Equipment,East Asia,Sea,Hybrid,149.0,11071.5,29.0,1960.11,185.0,150.0,,0.112,90.3,Severely Delayed
Electronics,South Asia,Road,Automated,572.0,7254.6,14.0,12773.19,646.0,523.0,70.0,0.174,42.3,Delayed
Industrial Equipment,South Asia,Road,Manual,242.0,6425.7,13.0,5713.38,24.0,275.0,65.2,0.184,37.2,Delayed
Automotive Parts,North America,Road,Hybrid,1490.0,2952.1,8.0,14753.69,1170.0,1187.0,86.1,0.105,16.4,Early
Electronics,Europe,Road,Automated,346.0,4643.7,11.0,5618.09,422.0,282.0,92.1,0.026,25.3,On Time
Electronics,South Asia,Road,Automated,,8741.7,15.0,3990.41,111.0,160.0,63.5,0.193,52.7,Delayed
Automotive Parts,Southeast Asia,Road,Manual,432.0,7712.0,17.0,11620.73,247.0,415.0,75.0,0.11,48.2,Delayed
Electronics,Europe,Sea,Automated,194.0,4505.4,18.0,1313.51,103.0,196.0,80.7,0.117,35.3,On Time
Pharmaceuticals,Southeast Asia,Road,Automated,190.0,10021.9,15.0,6047.89,172.0,245.0,73.1,0.176,58.2,Severely Delayed
Industrial Equipment,Europe,Sea,Manual,86.0,6610.3,11.0,1015.73,160.0,97.0,91.1,0.052,42.4,Delayed
Pharmaceuticals,East Asia,Road,Cross-Dock,71.0,11154.9,17.0,2473.02,47.0,82.0,81.6,0.174,64.6,Severely Delayed
Perishable Food,Latin America,Air,Automated,1469.0,8385.7,9.0,101298.8,1782.0,1802.0,76.2,0.112,14.7,On Time
Perishable Food,Europe,Air,Manual,,5571.9,3.0,46636.65,673.0,963.0,95.3,0.04,7.2,Early
Electronics,North America,Sea,Manual,224.0,3780.8,11.0,1159.49,274.0,270.0,99.0,0.01,22.5,On Time
Industrial Equipment,East Asia,Sea,Manual,7.0,10404.0,26.0,345.07,9.0,8.0,87.4,0.073,82.7,Severely Delayed
Apparel,East Asia,Sea,Manual,1297.0,9021.4,21.0,12456.5,1296.0,1321.0,85.6,0.052,59.0,Delayed
Electronics,North America,Air,Automated,804.0,4327.5,4.0,26910.55,1215.0,1028.0,86.1,0.036,1.8,Early
Apparel,South Asia,Sea,Automated,1333.0,8425.3,22.0,12088.0,915.0,1528.0,79.4,0.123,58.9,Delayed
Industrial Equipment,Europe,Sea,Manual,39.0,7160.8,13.0,559.93,21.0,43.0,97.4,0.039,47.1,Delayed
Electronics,South Asia,Sea,Cross-Dock,517.0,5761.5,21.0,3645.01,850.0,692.0,69.9,0.151,41.4,On Time
Automotive Parts,North America,Road,Manual,915.0,2712.0,5.0,6482.37,592.0,1022.0,86.6,0.138,13.1,Early
Furniture,East Asia,Sea,Manual,162.0,11550.3,28.0,2267.2,85.0,228.0,78.1,0.09,85.1,Severely Delayed
Automotive Parts,East Asia,Road,Cross-Dock,507.0,5757.9,19.0,9432.7,764.0,,74.1,0.157,40.6,On Time
Industrial Equipment,East Asia,Sea,Hybrid,222.0,9344.4,27.0,2553.49,9.0,275.0,81.9,0.203,78.0,Severely Delayed
Automotive Parts,Southeast Asia,Sea,Hybrid,1181.0,8416.4,21.0,11834.38,1560.0,1490.0,67.9,0.082,57.4,Delayed
Industrial Equipment,North America,Sea,Manual,57.0,3191.5,11.0,445.28,48.0,68.0,89.4,0.025,29.3,Delayed
Electronics,Latin America,Road,Cross-Dock,249.0,8744.1,18.0,7015.34,250.0,330.0,73.9,0.138,53.4,Delayed
Automotive Parts,Europe,Sea,Hybrid,234.0,6991.7,15.0,2072.81,309.0,232.0,89.7,0.045,41.3,Delayed
Pharmaceuticals,Europe,Rail,Hybrid,49.0,5813.0,9.0,764.94,27.0,61.0,85.0,0.106,24.1,On Time
Pharmaceuticals,North America,Road,Hybrid,641.0,4055.3,3.0,8715.33,469.0,586.0,80.7,0.135,17.1,On Time
Industrial Equipment,Southeast Asia,Road,Manual,96.0,9059.7,15.0,2695.94,118.0,113.0,83.3,0.148,51.1,Delayed
Industrial Equipment,Latin America,Sea,Cross-Dock,58.0,8514.9,17.0,824.28,42.0,59.0,61.4,0.169,62.6,Severely Delayed
Furniture,Europe,Sea,Cross-Dock,140.0,5533.1,15.0,1095.65,202.0,,88.7,0.068,35.5,On Time
Perishable Food,East Asia,Air,Hybrid,2714.0,9345.0,13.0,242876.23,3827.0,3700.0,90.9,0.054,25.3,On Time
Perishable Food,Europe,Air,Automated,300.0,8969.5,5.0,26910.63,76.0,361.0,88.6,0.01,9.4,Early
Perishable Food,East Asia,Air,Hybrid,2509.0,8204.8,9.0,198672.71,2605.0,2844.0,89.7,0.01,17.1,On Time
Apparel,East Asia,Road,Manual,698.0,12117.6,12.0,24364.57,797.0,744.0,85.1,,62.5,Severely Delayed
Perishable Food,Europe,Road,Manual,1443.0,4446.4,7.0,19593.69,1928.0,1902.0,79.6,0.067,21.0,On Time
Electronics,Southeast Asia,Air,Automated,562.0,6929.5,10.0,36160.17,567.0,622.0,83.9,0.075,14.7,Early
Electronics,East Asia,Sea,Hybrid,1055.0,8572.1,21.0,9937.15,1531.0,1291.0,78.5,0.091,58.1,Delayed
Automotive Parts,East Asia,Air,Cross-Dock,,11122.9,10.0,21851.93,134.0,237.0,79.4,0.142,24.8,Delayed
Perishable Food,Southeast Asia,Air,Automated,3999.0,8281.7,11.0,319011.54,4061.0,5061.0,80.1,0.153,17.0,On Time
Industrial Equipment,East Asia,Sea,Hybrid,27.0,11740.2,23.0,578.76,43.0,,76.3,0.134,87.1,Severely Delayed
Pharmaceuticals,East Asia,Road,Cross-Dock,156.0,8931.2,19.0,3998.11,227.0,183.0,87.6,0.049,55.3,Delayed
Electronics,Europe,Rail,Automated,625.0,6437.0,7.0,7976.34,779.0,798.0,90.5,0.012,23.0,On Time
Electronics,Southeast Asia,Sea,Automated,975.0,7714.9,21.0,8766.17,818.0,1308.0,85.9,0.044,52.9,Delayed
Apparel,North America,Road,Manual,374.0,4776.6,9.0,6501.79,368.0,493.0,96.9,0.046,22.7,On Time
